"Var1","Var2","yes","no","total.votes","approval","current","yes12","yes16","yes20"
8700,0,8700,0,8700,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8800,0,8800,0,8800,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8900,0,8900,0,8900,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9000,0,9000,0,9000,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9100,0,9100,0,9100,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9200,0,9200,0,9200,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9300,0,9300,0,9300,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9400,0,9400,0,9400,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9500,0,9500,0,9500,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9600,0,9600,0,9600,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9700,0,9700,0,9700,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9800,0,9800,0,9800,100,"Quorum met","Quorum met","Quorum met","Quorum met"
9900,0,9900,0,9900,100,"Quorum met","Quorum met","Quorum met","Quorum met"
10000,0,10000,0,10000,100,"Quorum met","Quorum met","Quorum met","Quorum met"
4000,100,4000,100,4100,97.5609756097561,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4100,100,4100,100,4200,97.6190476190476,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4200,100,4200,100,4300,97.6744186046512,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4300,100,4300,100,4400,97.7272727272727,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4400,100,4400,100,4500,97.7777777777778,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4500,100,4500,100,4600,97.8260869565217,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4600,100,4600,100,4700,97.8723404255319,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4700,100,4700,100,4800,97.9166666666667,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4800,100,4800,100,4900,97.9591836734694,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4900,100,4900,100,5000,98,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
5000,100,5000,100,5100,98.0392156862745,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5100,100,5100,100,5200,98.0769230769231,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5200,100,5200,100,5300,98.1132075471698,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5300,100,5300,100,5400,98.1481481481482,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5400,100,5400,100,5500,98.1818181818182,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5500,100,5500,100,5600,98.2142857142857,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5600,100,5600,100,5700,98.2456140350877,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5700,100,5700,100,5800,98.2758620689655,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5800,100,5800,100,5900,98.3050847457627,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5900,100,5900,100,6000,98.3333333333333,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6000,100,6000,100,6100,98.3606557377049,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6100,100,6100,100,6200,98.3870967741936,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6200,100,6200,100,6300,98.4126984126984,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6300,100,6300,100,6400,98.4375,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6400,100,6400,100,6500,98.4615384615385,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6500,100,6500,100,6600,98.4848484848485,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6600,100,6600,100,6700,98.5074626865672,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6700,100,6700,100,6800,98.5294117647059,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6800,100,6800,100,6900,98.5507246376812,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6900,100,6900,100,7000,98.5714285714286,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7000,100,7000,100,7100,98.5915492957747,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7100,100,7100,100,7200,98.6111111111111,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7200,100,7200,100,7300,98.6301369863014,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7300,100,7300,100,7400,98.6486486486486,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7400,100,7400,100,7500,98.6666666666667,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7500,100,7500,100,7600,98.6842105263158,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7600,100,7600,100,7700,98.7012987012987,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7700,100,7700,100,7800,98.7179487179487,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7800,100,7800,100,7900,98.7341772151899,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7900,100,7900,100,8000,98.75,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8000,100,8000,100,8100,98.7654320987654,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8100,100,8100,100,8200,98.780487804878,"Quorum met","Quorum met","Quorum met","Quorum not met"
8200,100,8200,100,8300,98.7951807228916,"Quorum met","Quorum met","Quorum met","Quorum met"
8300,100,8300,100,8400,98.8095238095238,"Quorum met","Quorum met","Quorum met","Quorum met"
8400,100,8400,100,8500,98.8235294117647,"Quorum met","Quorum met","Quorum met","Quorum met"
8500,100,8500,100,8600,98.8372093023256,"Quorum met","Quorum met","Quorum met","Quorum met"
8600,100,8600,100,8700,98.8505747126437,"Quorum met","Quorum met","Quorum met","Quorum met"
8700,100,8700,100,8800,98.8636363636364,"Quorum met","Quorum met","Quorum met","Quorum met"
8800,100,8800,100,8900,98.876404494382,"Quorum met","Quorum met","Quorum met","Quorum met"
8900,100,8900,100,9000,98.8888888888889,"Quorum met","Quorum met","Quorum met","Quorum met"
9000,100,9000,100,9100,98.9010989010989,"Quorum met","Quorum met","Quorum met","Quorum met"
9100,100,9100,100,9200,98.9130434782609,"Quorum met","Quorum met","Quorum met","Quorum met"
9200,100,9200,100,9300,98.9247311827957,"Quorum met","Quorum met","Quorum met","Quorum met"
9300,100,9300,100,9400,98.936170212766,"Quorum met","Quorum met","Quorum met","Quorum met"
9400,100,9400,100,9500,98.9473684210526,"Quorum met","Quorum met","Quorum met","Quorum met"
9500,100,9500,100,9600,98.9583333333333,"Quorum met","Quorum met","Quorum met","Quorum met"
9600,100,9600,100,9700,98.9690721649485,"Quorum met","Quorum met","Quorum met","Quorum met"
9700,100,9700,100,9800,98.9795918367347,"Quorum met","Quorum met","Quorum met","Quorum met"
9800,100,9800,100,9900,98.989898989899,"Quorum met","Quorum met","Quorum met","Quorum met"
9900,100,9900,100,10000,99,"Quorum met","Quorum met","Quorum met","Quorum met"
10000,100,10000,100,10100,99.009900990099,"Quorum met","Quorum met","Quorum met","Quorum met"
4000,200,4000,200,4200,95.2380952380952,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4100,200,4100,200,4300,95.3488372093023,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4200,200,4200,200,4400,95.4545454545455,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4300,200,4300,200,4500,95.5555555555556,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4400,200,4400,200,4600,95.6521739130435,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4500,200,4500,200,4700,95.7446808510638,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4600,200,4600,200,4800,95.8333333333333,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4700,200,4700,200,4900,95.9183673469388,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4800,200,4800,200,5000,96,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4900,200,4900,200,5100,96.078431372549,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
5000,200,5000,200,5200,96.1538461538462,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5100,200,5100,200,5300,96.2264150943396,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5200,200,5200,200,5400,96.2962962962963,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5300,200,5300,200,5500,96.3636363636364,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5400,200,5400,200,5600,96.4285714285714,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5500,200,5500,200,5700,96.4912280701754,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5600,200,5600,200,5800,96.551724137931,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5700,200,5700,200,5900,96.6101694915254,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5800,200,5800,200,6000,96.6666666666667,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5900,200,5900,200,6100,96.7213114754098,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6000,200,6000,200,6200,96.7741935483871,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6100,200,6100,200,6300,96.8253968253968,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6200,200,6200,200,6400,96.875,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6300,200,6300,200,6500,96.9230769230769,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6400,200,6400,200,6600,96.969696969697,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6500,200,6500,200,6700,97.0149253731343,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6600,200,6600,200,6800,97.0588235294118,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6700,200,6700,200,6900,97.1014492753623,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6800,200,6800,200,7000,97.1428571428571,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6900,200,6900,200,7100,97.1830985915493,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7000,200,7000,200,7200,97.2222222222222,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7100,200,7100,200,7300,97.2602739726027,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7200,200,7200,200,7400,97.2972972972973,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7300,200,7300,200,7500,97.3333333333333,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7400,200,7400,200,7600,97.3684210526316,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7500,200,7500,200,7700,97.4025974025974,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7600,200,7600,200,7800,97.4358974358974,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7700,200,7700,200,7900,97.4683544303797,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7800,200,7800,200,8000,97.5,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7900,200,7900,200,8100,97.5308641975309,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8000,200,8000,200,8200,97.5609756097561,"Quorum met","Quorum met","Quorum met","Quorum not met"
8100,200,8100,200,8300,97.5903614457831,"Quorum met","Quorum met","Quorum met","Quorum not met"
8200,200,8200,200,8400,97.6190476190476,"Quorum met","Quorum met","Quorum met","Quorum met"
8300,200,8300,200,8500,97.6470588235294,"Quorum met","Quorum met","Quorum met","Quorum met"
8400,200,8400,200,8600,97.6744186046512,"Quorum met","Quorum met","Quorum met","Quorum met"
8500,200,8500,200,8700,97.7011494252874,"Quorum met","Quorum met","Quorum met","Quorum met"
8600,200,8600,200,8800,97.7272727272727,"Quorum met","Quorum met","Quorum met","Quorum met"
8700,200,8700,200,8900,97.752808988764,"Quorum met","Quorum met","Quorum met","Quorum met"
8800,200,8800,200,9000,97.7777777777778,"Quorum met","Quorum met","Quorum met","Quorum met"
8900,200,8900,200,9100,97.8021978021978,"Quorum met","Quorum met","Quorum met","Quorum met"
9000,200,9000,200,9200,97.8260869565217,"Quorum met","Quorum met","Quorum met","Quorum met"
9100,200,9100,200,9300,97.8494623655914,"Quorum met","Quorum met","Quorum met","Quorum met"
9200,200,9200,200,9400,97.8723404255319,"Quorum met","Quorum met","Quorum met","Quorum met"
9300,200,9300,200,9500,97.8947368421053,"Quorum met","Quorum met","Quorum met","Quorum met"
9400,200,9400,200,9600,97.9166666666667,"Quorum met","Quorum met","Quorum met","Quorum met"
9500,200,9500,200,9700,97.9381443298969,"Quorum met","Quorum met","Quorum met","Quorum met"
9600,200,9600,200,9800,97.9591836734694,"Quorum met","Quorum met","Quorum met","Quorum met"
9700,200,9700,200,9900,97.979797979798,"Quorum met","Quorum met","Quorum met","Quorum met"
9800,200,9800,200,10000,98,"Quorum met","Quorum met","Quorum met","Quorum met"
9900,200,9900,200,10100,98.019801980198,"Quorum met","Quorum met","Quorum met","Quorum met"
10000,200,10000,200,10200,98.0392156862745,"Quorum met","Quorum met","Quorum met","Quorum met"
4000,300,4000,300,4300,93.0232558139535,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4100,300,4100,300,4400,93.1818181818182,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4200,300,4200,300,4500,93.3333333333333,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4300,300,4300,300,4600,93.4782608695652,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4400,300,4400,300,4700,93.6170212765958,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4500,300,4500,300,4800,93.75,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4600,300,4600,300,4900,93.8775510204082,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4700,300,4700,300,5000,94,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4800,300,4800,300,5100,94.1176470588235,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4900,300,4900,300,5200,94.2307692307692,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
5000,300,5000,300,5300,94.3396226415094,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5100,300,5100,300,5400,94.4444444444444,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5200,300,5200,300,5500,94.5454545454545,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5300,300,5300,300,5600,94.6428571428571,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5400,300,5400,300,5700,94.7368421052632,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5500,300,5500,300,5800,94.8275862068966,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5600,300,5600,300,5900,94.9152542372881,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5700,300,5700,300,6000,95,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5800,300,5800,300,6100,95.0819672131148,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5900,300,5900,300,6200,95.1612903225807,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6000,300,6000,300,6300,95.2380952380952,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6100,300,6100,300,6400,95.3125,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6200,300,6200,300,6500,95.3846153846154,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6300,300,6300,300,6600,95.4545454545455,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6400,300,6400,300,6700,95.5223880597015,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6500,300,6500,300,6800,95.5882352941177,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6600,300,6600,300,6900,95.6521739130435,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6700,300,6700,300,7000,95.7142857142857,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6800,300,6800,300,7100,95.7746478873239,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6900,300,6900,300,7200,95.8333333333333,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7000,300,7000,300,7300,95.8904109589041,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7100,300,7100,300,7400,95.9459459459459,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7200,300,7200,300,7500,96,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7300,300,7300,300,7600,96.0526315789474,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7400,300,7400,300,7700,96.1038961038961,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7500,300,7500,300,7800,96.1538461538462,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7600,300,7600,300,7900,96.2025316455696,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7700,300,7700,300,8000,96.25,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7800,300,7800,300,8100,96.2962962962963,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7900,300,7900,300,8200,96.3414634146341,"Quorum met","Quorum met","Quorum met","Quorum not met"
8000,300,8000,300,8300,96.3855421686747,"Quorum met","Quorum met","Quorum met","Quorum not met"
8100,300,8100,300,8400,96.4285714285714,"Quorum met","Quorum met","Quorum met","Quorum not met"
8200,300,8200,300,8500,96.4705882352941,"Quorum met","Quorum met","Quorum met","Quorum met"
8300,300,8300,300,8600,96.5116279069768,"Quorum met","Quorum met","Quorum met","Quorum met"
8400,300,8400,300,8700,96.551724137931,"Quorum met","Quorum met","Quorum met","Quorum met"
8500,300,8500,300,8800,96.5909090909091,"Quorum met","Quorum met","Quorum met","Quorum met"
8600,300,8600,300,8900,96.6292134831461,"Quorum met","Quorum met","Quorum met","Quorum met"
8700,300,8700,300,9000,96.6666666666667,"Quorum met","Quorum met","Quorum met","Quorum met"
8800,300,8800,300,9100,96.7032967032967,"Quorum met","Quorum met","Quorum met","Quorum met"
8900,300,8900,300,9200,96.7391304347826,"Quorum met","Quorum met","Quorum met","Quorum met"
9000,300,9000,300,9300,96.7741935483871,"Quorum met","Quorum met","Quorum met","Quorum met"
9100,300,9100,300,9400,96.8085106382979,"Quorum met","Quorum met","Quorum met","Quorum met"
9200,300,9200,300,9500,96.8421052631579,"Quorum met","Quorum met","Quorum met","Quorum met"
9300,300,9300,300,9600,96.875,"Quorum met","Quorum met","Quorum met","Quorum met"
9400,300,9400,300,9700,96.9072164948454,"Quorum met","Quorum met","Quorum met","Quorum met"
9500,300,9500,300,9800,96.9387755102041,"Quorum met","Quorum met","Quorum met","Quorum met"
9600,300,9600,300,9900,96.969696969697,"Quorum met","Quorum met","Quorum met","Quorum met"
9700,300,9700,300,10000,97,"Quorum met","Quorum met","Quorum met","Quorum met"
9800,300,9800,300,10100,97.029702970297,"Quorum met","Quorum met","Quorum met","Quorum met"
9900,300,9900,300,10200,97.0588235294118,"Quorum met","Quorum met","Quorum met","Quorum met"
10000,300,10000,300,10300,97.0873786407767,"Quorum met","Quorum met","Quorum met","Quorum met"
4000,400,4000,400,4400,90.9090909090909,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4100,400,4100,400,4500,91.1111111111111,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4200,400,4200,400,4600,91.304347826087,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4300,400,4300,400,4700,91.4893617021277,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4400,400,4400,400,4800,91.6666666666667,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4500,400,4500,400,4900,91.8367346938776,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4600,400,4600,400,5000,92,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4700,400,4700,400,5100,92.156862745098,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4800,400,4800,400,5200,92.3076923076923,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4900,400,4900,400,5300,92.4528301886792,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
5000,400,5000,400,5400,92.5925925925926,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5100,400,5100,400,5500,92.7272727272727,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5200,400,5200,400,5600,92.8571428571429,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5300,400,5300,400,5700,92.9824561403509,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5400,400,5400,400,5800,93.1034482758621,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5500,400,5500,400,5900,93.2203389830508,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5600,400,5600,400,6000,93.3333333333333,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5700,400,5700,400,6100,93.4426229508197,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5800,400,5800,400,6200,93.5483870967742,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5900,400,5900,400,6300,93.6507936507936,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6000,400,6000,400,6400,93.75,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6100,400,6100,400,6500,93.8461538461538,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6200,400,6200,400,6600,93.9393939393939,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6300,400,6300,400,6700,94.0298507462687,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6400,400,6400,400,6800,94.1176470588235,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6500,400,6500,400,6900,94.2028985507246,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6600,400,6600,400,7000,94.2857142857143,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6700,400,6700,400,7100,94.3661971830986,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6800,400,6800,400,7200,94.4444444444444,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6900,400,6900,400,7300,94.5205479452055,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7000,400,7000,400,7400,94.5945945945946,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7100,400,7100,400,7500,94.6666666666667,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7200,400,7200,400,7600,94.7368421052632,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7300,400,7300,400,7700,94.8051948051948,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7400,400,7400,400,7800,94.8717948717949,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7500,400,7500,400,7900,94.9367088607595,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7600,400,7600,400,8000,95,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7700,400,7700,400,8100,95.0617283950617,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7800,400,7800,400,8200,95.1219512195122,"Quorum met","Quorum met","Quorum met","Quorum not met"
7900,400,7900,400,8300,95.1807228915663,"Quorum met","Quorum met","Quorum met","Quorum not met"
8000,400,8000,400,8400,95.2380952380952,"Quorum met","Quorum met","Quorum met","Quorum not met"
8100,400,8100,400,8500,95.2941176470588,"Quorum met","Quorum met","Quorum met","Quorum not met"
8200,400,8200,400,8600,95.3488372093023,"Quorum met","Quorum met","Quorum met","Quorum met"
8300,400,8300,400,8700,95.4022988505747,"Quorum met","Quorum met","Quorum met","Quorum met"
8400,400,8400,400,8800,95.4545454545455,"Quorum met","Quorum met","Quorum met","Quorum met"
8500,400,8500,400,8900,95.5056179775281,"Quorum met","Quorum met","Quorum met","Quorum met"
8600,400,8600,400,9000,95.5555555555556,"Quorum met","Quorum met","Quorum met","Quorum met"
8700,400,8700,400,9100,95.6043956043956,"Quorum met","Quorum met","Quorum met","Quorum met"
8800,400,8800,400,9200,95.6521739130435,"Quorum met","Quorum met","Quorum met","Quorum met"
